forehead_width_cm,forehead_height_cm,long_hair,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
-1.2700946925682595,0.24369880443139885,1.0,1.0,0.0,1.0,1.0,1
0.7015486594682779,-1.0297132581608404,0.0,0.0,0.0,1.0,0.0,0
-1.2700946925682595,0.6075308223148964,0.0,1.0,1.0,1.0,1.0,1
1.060029268929467,0.24369880443139885,0.0,0.0,1.0,1.0,1.0,1
0.25344789764179204,-0.12013321345209713,1.0,0.0,0.0,0.0,0.0,0
-0.1946528641846939,1.5171108670236397,1.0,1.0,1.0,1.0,1.0,1
1.866610640217142,0.4256148133731485,1.0,1.0,1.0,1.0,0.0,1
-0.1946528641846939,-1.3935452760443379,0.0,0.0,0.0,0.0,0.0,0
-1.1804745402029626,-1.0297132581608404,1.0,1.0,0.0,1.0,1.0,0
-1.001234235472369,-1.0297132581608404,1.0,0.0,0.0,0.0,0.0,0
-0.6427536260111798,-1.0297132581608404,0.0,1.0,1.0,1.0,1.0,1
2.045850944947736,-0.30204922239384674,1.0,1.0,1.0,1.0,1.0,1
1.3288897260253576,-1.3935452760443379,0.0,1.0,1.0,1.0,1.0,1
1.1496494212947639,1.3351948580818918,1.0,0.0,1.0,1.0,1.0,1
0.8807889641988716,0.971362840198394,1.0,0.0,0.0,0.0,0.0,0
-0.6427536260111798,-1.3935452760443379,0.0,1.0,1.0,1.0,1.0,1
1.7769904878518434,0.06178279548965087,1.0,1.0,1.0,1.0,1.0,1
0.7015486594682779,-0.12013321345209713,1.0,0.0,0.0,0.0,0.0,0
-1.1804745402029626,-1.3935452760443379,1.0,0.0,0.0,0.0,0.0,0
1.060029268929467,-0.6658812402773443,1.0,1.0,0.0,1.0,1.0,1
1.2392695736600607,0.6075308223148964,1.0,1.0,1.0,1.0,1.0,1
-0.3738931689152876,1.8809428849071372,1.0,1.0,1.0,1.0,1.0,1
-0.28427301654999076,0.789446831256646,1.0,1.0,0.0,0.0,1.0,0
-0.911614083107072,0.06178279548965087,0.0,1.0,1.0,0.0,1.0,1
0.8807889641988716,-1.21162926710259,0.0,0.0,0.0,0.0,0.0,0
-0.8219939307417736,0.6075308223148964,1.0,0.0,0.0,0.0,0.0,0
0.8807889641988716,0.4256148133731485,1.0,0.0,0.0,0.0,0.0,0
-0.6427536260111798,-1.3935452760443379,1.0,0.0,0.0,0.0,0.0,0
2.045850944947736,-0.4839652313355947,1.0,1.0,1.0,1.0,0.0,1
1.866610640217142,0.6075308223148964,1.0,1.0,1.0,1.0,1.0,1
1.866610640217142,-1.3935452760443379,1.0,1.0,1.0,1.0,1.0,1
-0.8219939307417736,1.5171108670236397,1.0,1.0,1.0,1.0,1.0,1
-1.2700946925682595,-1.21162926710259,1.0,1.0,0.0,0.0,0.0,0
-1.2700946925682595,0.06178279548965087,1.0,1.0,0.0,0.0,0.0,0
-0.4635133212805861,-1.0297132581608404,1.0,0.0,1.0,1.0,1.0,1
0.7911688118335748,0.24369880443139885,1.0,1.0,1.0,1.0,1.0,1
-0.28427301654999076,0.06178279548965087,1.0,0.0,0.0,0.0,0.0,0
0.7015486594682779,-1.5754612849860876,1.0,1.0,0.0,0.0,0.0,0
0.25344789764179204,-1.3935452760443379,0.0,0.0,0.0,0.0,0.0,0
2.045850944947736,0.6075308223148964,0.0,1.0,1.0,1.0,1.0,1
0.7911688118335748,-0.12013321345209713,1.0,0.0,0.0,0.0,0.0,0
1.060029268929467,1.5171108670236397,1.0,1.0,1.0,1.0,1.0,1
-0.911614083107072,0.24369880443139885,1.0,1.0,1.0,1.0,1.0,1
